Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,counterbalance-2nfr,branch-i39d,branch-gwtr,branch-9h9t,checkpoint-o7ee,checkpoint-6s7s,branch-ktz5,branch-hxbs,Page,Page ID,Page Counter,Question,Response Type,Key,Response,Tag,OptionOrder,Object Name,Object Number,Object ID
1,1732031392057,19/11/2024 15:49:52,1732013392057,-5,19/11/2024 05:49:52,196386,5,questionnaire-7ac3,,41462747,BLIND,12102286,,complete,,673cab122e521fa8c1d28d89,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,1440x900,1340x795,Headphone Check Pass,,0,ET_Questionnaire (Clone),1,CB14,Yes,Pass,Pass,Headphone Check Pass,,,,,,,,info,,BEGIN,,,,,
2,1732031500334,19/11/2024 15:51:40,1732013500334,-5,19/11/2024 05:51:40,196386,5,questionnaire-7ac3,,41462747,BLIND,12102286,,complete,,673cab122e521fa8c1d28d89,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,1440x900,1340x795,Headphone Check Pass,,0,ET_Questionnaire (Clone),1,CB14,Yes,Pass,Pass,Headphone Check Pass,,,,Page 1,vvc35d,1,"1.	Do you have a history of vision problems (e.g., corrected vision, eye disease, or drooping eyelids)?",response,value,No,,Yes|No,Multiple Choice,1,object-3
3,1732031500335,19/11/2024 15:51:40,1732013500335,-5,19/11/2024 05:51:40,196386,5,questionnaire-7ac3,,41462747,BLIND,12102286,,complete,,673cab122e521fa8c1d28d89,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,1440x900,1340x795,Headphone Check Pass,,0,ET_Questionnaire (Clone),1,CB14,Yes,Pass,Pass,Headphone Check Pass,,,,Page 1,vvc35d,1,"1.	Do you have a history of vision problems (e.g., corrected vision, eye disease, or drooping eyelids)?",response,quantised,2,,Yes|No,Multiple Choice,1,object-3
4,1732031500335,19/11/2024 15:51:40,1732013500335,-5,19/11/2024 05:51:40,196386,5,questionnaire-7ac3,,41462747,BLIND,12102286,,complete,,673cab122e521fa8c1d28d89,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,1440x900,1340x795,Headphone Check Pass,,0,ET_Questionnaire (Clone),1,CB14,Yes,Pass,Pass,Headphone Check Pass,,,,Page 1,vvc35d,1,2.	Are you on any medications currently that can impair your judgement?,response,value,No,,Yes|No,Multiple Choice,2,object-4
5,1732031500335,19/11/2024 15:51:40,1732013500335,-5,19/11/2024 05:51:40,196386,5,questionnaire-7ac3,,41462747,BLIND,12102286,,complete,,673cab122e521fa8c1d28d89,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,1440x900,1340x795,Headphone Check Pass,,0,ET_Questionnaire (Clone),1,CB14,Yes,Pass,Pass,Headphone Check Pass,,,,Page 1,vvc35d,1,2.	Are you on any medications currently that can impair your judgement?,response,quantised,2,,Yes|No,Multiple Choice,2,object-4
6,1732031500335,19/11/2024 15:51:40,1732013500335,-5,19/11/2024 05:51:40,196386,5,questionnaire-7ac3,,41462747,BLIND,12102286,,complete,,673cab122e521fa8c1d28d89,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,1440x900,1340x795,Headphone Check Pass,,0,ET_Questionnaire (Clone),1,CB14,Yes,Pass,Pass,Headphone Check Pass,,,,Page 1,vvc35d,1,"If yes, please list below:",response,value,n/a,,,Comment Box,3,object-5
7,1732031500335,19/11/2024 15:51:40,1732013500335,-5,19/11/2024 05:51:40,196386,5,questionnaire-7ac3,,41462747,BLIND,12102286,,complete,,673cab122e521fa8c1d28d89,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,1440x900,1340x795,Headphone Check Pass,,0,ET_Questionnaire (Clone),1,CB14,Yes,Pass,Pass,Headphone Check Pass,,,,Page 1,vvc35d,1,3.	Please check if you currently wearing any of the following:,response,Eye Glasses,0,,Eye Glasses|Contacts|Makeup|Strip or individual eyelashes|Hat,Multiple Choice,4,object-6
8,1732031500335,19/11/2024 15:51:40,1732013500335,-5,19/11/2024 05:51:40,196386,5,questionnaire-7ac3,,41462747,BLIND,12102286,,complete,,673cab122e521fa8c1d28d89,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,1440x900,1340x795,Headphone Check Pass,,0,ET_Questionnaire (Clone),1,CB14,Yes,Pass,Pass,Headphone Check Pass,,,,Page 1,vvc35d,1,3.	Please check if you currently wearing any of the following:,response,Contacts,1,,Eye Glasses|Contacts|Makeup|Strip or individual eyelashes|Hat,Multiple Choice,4,object-6
9,1732031500335,19/11/2024 15:51:40,1732013500335,-5,19/11/2024 05:51:40,196386,5,questionnaire-7ac3,,41462747,BLIND,12102286,,complete,,673cab122e521fa8c1d28d89,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,1440x900,1340x795,Headphone Check Pass,,0,ET_Questionnaire (Clone),1,CB14,Yes,Pass,Pass,Headphone Check Pass,,,,Page 1,vvc35d,1,3.	Please check if you currently wearing any of the following:,response,Makeup,0,,Eye Glasses|Contacts|Makeup|Strip or individual eyelashes|Hat,Multiple Choice,4,object-6
10,1732031500336,19/11/2024 15:51:40,1732013500336,-5,19/11/2024 05:51:40,196386,5,questionnaire-7ac3,,41462747,BLIND,12102286,,complete,,673cab122e521fa8c1d28d89,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,1440x900,1340x795,Headphone Check Pass,,0,ET_Questionnaire (Clone),1,CB14,Yes,Pass,Pass,Headphone Check Pass,,,,Page 1,vvc35d,1,3.	Please check if you currently wearing any of the following:,response,Strip or individual eyelashes,0,,Eye Glasses|Contacts|Makeup|Strip or individual eyelashes|Hat,Multiple Choice,4,object-6
