Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,counterbalance-2nfr,branch-i39d,branch-gwtr,branch-9h9t,checkpoint-o7ee,checkpoint-6s7s,branch-ktz5,branch-hxbs,Spreadsheet,correctAnswerCount,EarlyExitButtonText,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,ANSWER,stimuli,ShowProgressBar
1,1732029201883,19/11/2024 15:13:21,1732029197935,-5,19/11/2024 10:13:17,196386,5,task-wrbu,,41461435,BLIND,12102265,,complete,,673caafd1c0c5d1f2feb92d2,computer,Desktop or Laptop,Windows 10,Chrome 131.0.0.0,1920x1080,1920x953,Headphone Check Pass,,,Efficient Headphone Screen,1,CB25,Yes,Pass,Exit,Headphone Check Pass,,,,Spreadsheet1,correctAnswerCount,,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,,,,
2,1732029208402,19/11/2024 15:13:28,1732029204387,-5,19/11/2024 10:13:24,196386,5,task-wrbu,,41461435,BLIND,12102265,,complete,,673caafd1c0c5d1f2feb92d2,computer,Desktop or Laptop,Windows 10,Chrome 131.0.0.0,1536x864,1519x738,Headphone Check Pass,,,Efficient Headphone Screen,1,CB25,Yes,Pass,Exit,Headphone Check Pass,,,,Spreadsheet1,correctAnswerCount,,Spreadsheet1,1,1,1,Screen 5,Zone1,continue_button,5455.0999999940395,,,,,0,1,0,,,,,,Instructions,,,
3,1732029214232,19/11/2024 15:13:34,1732029210296,-5,19/11/2024 10:13:30,196386,5,task-wrbu,,41461435,BLIND,12102265,,complete,,673caafd1c0c5d1f2feb92d2,computer,Desktop or Laptop,Windows 10,Chrome 131.0.0.0,1536x864,1519x738,Headphone Check Pass,,,Efficient Headphone Screen,1,CB25,Yes,Pass,Exit,Headphone Check Pass,,,,Spreadsheet1,correctAnswerCount,,Spreadsheet1,1,1,2,Screen 2,Zone1,content_web_audio,5898.20000000298,,,AUDIO PLAY REQUESTED,1,0,1,0,,,,,,Instructions,,,
4,1732029226810,19/11/2024 15:13:46,1732029222828,-5,19/11/2024 10:13:42,196386,5,task-wrbu,,41461435,BLIND,12102265,,complete,,673caafd1c0c5d1f2feb92d2,computer,Desktop or Laptop,Windows 10,Chrome 131.0.0.0,1536x864,1519x738,Headphone Check Pass,,,Efficient Headphone Screen,1,CB25,Yes,Pass,Exit,Headphone Check Pass,,,,Spreadsheet1,correctAnswerCount,,Spreadsheet1,1,1,2,Screen 2,script,force_advance,18440.899999999998,,,,,0,1,0,,,,,,Instructions,,,
5,1732029232884,19/11/2024 15:13:52,1732029228951,-5,19/11/2024 10:13:48,196386,5,task-wrbu,,41461435,BLIND,12102265,,complete,,673caafd1c0c5d1f2feb92d2,computer,Desktop or Laptop,Windows 10,Chrome 131.0.0.0,1536x864,1536x864,Headphone Check Pass,,,Efficient Headphone Screen,1,CB25,Yes,Pass,Exit,Headphone Check Pass,,,,Spreadsheet1,correctAnswerCount,,Spreadsheet1,1,1,3,Screen 1,Zone2,content_web_audio,6108.0999999940395,,,AUDIO PLAY REQUESTED,1,0,1,0,,,,,,Instructions,,,
6,1732029239019,19/11/2024 15:13:59,1732029235013,-5,19/11/2024 10:13:55,196386,5,task-wrbu,,41461435,BLIND,12102265,,complete,,673caafd1c0c5d1f2feb92d2,computer,Desktop or Laptop,Windows 10,Chrome 131.0.0.0,1536x864,1536x864,Headphone Check Pass,,,Efficient Headphone Screen,1,CB25,Yes,Pass,Exit,Headphone Check Pass,,,,Spreadsheet1,correctAnswerCount,,Spreadsheet1,1,1,3,Screen 1,Zone2,content_web_audio,12169.5,,,,,0,1,0,,,,,,Instructions,,,
7,1732029242867,19/11/2024 15:14:02,1732029238934,-5,19/11/2024 10:13:58,196386,5,task-wrbu,,41461435,BLIND,12102265,,complete,,673caafd1c0c5d1f2feb92d2,computer,Desktop or Laptop,Windows 10,Chrome 131.0.0.0,1536x864,1536x864,Headphone Check Pass,,,Efficient Headphone Screen,1,CB25,Yes,Pass,Exit,Headphone Check Pass,,,,Spreadsheet1,correctAnswerCount,,Spreadsheet1,1,1,4,Screen 6,Zone2,content_web_audio,3915.7000000029802,,,AUDIO PLAY REQUESTED,1,0,1,0,,,,,,Instructions,,,
8,1732029247904,19/11/2024 15:14:07,1732029243949,-5,19/11/2024 10:14:03,196386,5,task-wrbu,,41461435,BLIND,12102265,,complete,,673caafd1c0c5d1f2feb92d2,computer,Desktop or Laptop,Windows 10,Chrome 131.0.0.0,1536x864,1536x864,Headphone Check Pass,,,Efficient Headphone Screen,1,CB25,Yes,Pass,Exit,Headphone Check Pass,,,,Spreadsheet1,correctAnswerCount,,Spreadsheet1,1,1,4,Screen 6,Zone1,continue_button,8929.79999999702,,,,,0,1,0,,,,,,Instructions,,,
9,1732029253877,19/11/2024 15:14:13,1732029249936,-5,19/11/2024 10:14:09,196386,5,task-wrbu,,41461435,BLIND,12102265,,complete,,673caafd1c0c5d1f2feb92d2,computer,Desktop or Laptop,Windows 10,Chrome 131.0.0.0,1536x864,1536x864,Headphone Check Pass,,,Efficient Headphone Screen,1,CB25,Yes,Pass,Exit,Headphone Check Pass,,,,Spreadsheet1,correctAnswerCount,,Spreadsheet1,1,1,5,Screen 3,Zone1,continue_button,5981.5,,,,,0,1,0,,,,,,Instructions,,,
10,1732029254859,19/11/2024 15:14:14,1732029250936,-5,19/11/2024 10:14:10,196386,5,task-wrbu,,41461435,BLIND,12102265,,complete,,673caafd1c0c5d1f2feb92d2,computer,Desktop or Laptop,Windows 10,Chrome 131.0.0.0,1536x864,1536x864,Headphone Check Pass,,,Efficient Headphone Screen,1,CB25,Yes,Pass,Exit,Headphone Check Pass,,,,Spreadsheet1,correctAnswerCount,,Spreadsheet1,11,1,1,Screen 3,Zone3,timelimit_screen,999.8000000000029,,,,,0,1,0,,,1,,1,Trial,2,HugginsPitch_10_2.flac,1
11,1732029260981,19/11/2024 15:14:20,1732029257049,-5,19/11/2024 10:14:17,196386,5,task-wrbu,,41461435,BLIND,12102265,,complete,,673caafd1c0c5d1f2feb92d2,computer,Desktop or Laptop,Windows 10,Chrome 131.0.0.0,1536x864,1536x864,Headphone Check Pass,,,Efficient Headphone Screen,1,CB25,Yes,Pass,Exit,Headphone Check Pass,,,,Spreadsheet1,correctAnswerCount,,Spreadsheet1,11,1,2,Screen 1,content,content_audio,6105.5,,,,,0,1,0,,,,,1,Trial,2,HugginsPitch_10_2.flac,1
12,1732029263529,19/11/2024 15:14:23,1732029259600,-5,19/11/2024 10:14:19,196386,5,task-wrbu,,41461435,BLIND,12102265,,complete,,673caafd1c0c5d1f2feb92d2,computer,Desktop or Laptop,Windows 10,Chrome 131.0.0.0,1536x864,1536x864,Headphone Check Pass,,,Efficient Headphone Screen,1,CB25,Yes,Pass,Exit,Headphone Check Pass,,,,Spreadsheet1,correctAnswerCount,,Spreadsheet1,11,1,3,Screen 2,buttonA,response_button_text,2545.5,,,1,1,0,1,0,,,,,1,Trial,2,HugginsPitch_10_2.flac,1
13,1732029264530,19/11/2024 15:14:24,1732029260593,-5,19/11/2024 10:14:20,196386,5,task-wrbu,,41461435,BLIND,12102265,,complete,,673caafd1c0c5d1f2feb92d2,computer,Desktop or Laptop,Windows 10,Chrome 131.0.0.0,1536x864,1536x864,Headphone Check Pass,,,Efficient Headphone Screen,1,CB25,Yes,Pass,Exit,Headphone Check Pass,,,,Spreadsheet1,correctAnswerCount,,Spreadsheet1,5,2,1,Screen 3,Zone3,timelimit_screen,999.6999999999971,,,,,0,1,0,,,1,,1,Trial,3,HugginsPitch_4_3.flac,1
14,1732029270630,19/11/2024 15:14:30,1732029266689,-5,19/11/2024 10:14:26,196386,5,task-wrbu,,41461435,BLIND,12102265,,complete,,673caafd1c0c5d1f2feb92d2,computer,Desktop or Laptop,Windows 10,Chrome 131.0.0.0,1536x864,1536x864,Headphone Check Pass,,,Efficient Headphone Screen,1,CB25,Yes,Pass,Exit,Headphone Check Pass,,,,Spreadsheet1,correctAnswerCount,,Spreadsheet1,5,2,2,Screen 1,content,content_audio,6092,,,,,0,1,0,,,,,1,Trial,3,HugginsPitch_4_3.flac,1
15,1732029271069,19/11/2024 15:14:31,1732029267149,-5,19/11/2024 10:14:27,196386,5,task-wrbu,,41461435,BLIND,12102265,,complete,,673caafd1c0c5d1f2feb92d2,computer,Desktop or Laptop,Windows 10,Chrome 131.0.0.0,1536x864,1536x864,Headphone Check Pass,,,Efficient Headphone Screen,1,CB25,Yes,Pass,Exit,Headphone Check Pass,,,,Spreadsheet1,correctAnswerCount,,Spreadsheet1,5,2,3,Screen 2,buttonC,response_button_text,454.29999999701977,,,3,1,1,0,0,,,,,1,Trial,3,HugginsPitch_4_3.flac,1
16,1732029272067,19/11/2024 15:14:32,1732029268149,-5,19/11/2024 10:14:28,196386,5,task-wrbu,,41461435,BLIND,12102265,,complete,,673caafd1c0c5d1f2feb92d2,computer,Desktop or Laptop,Windows 10,Chrome 131.0.0.0,1536x864,1536x864,Headphone Check Pass,,,Efficient Headphone Screen,1,CB25,Yes,Pass,Exit,Headphone Check Pass,,,,Spreadsheet1,correctAnswerCount,,Spreadsheet1,6,3,1,Screen 3,Zone3,timelimit_screen,999.9000000000087,,,,,0,1,0,,,1,,1,Trial,3,HugginsPitch_5_3.flac,1
