Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,counterbalance-2nfr,branch-i39d,branch-gwtr,branch-9h9t,checkpoint-o7ee,checkpoint-6s7s,branch-ktz5,branch-hxbs,Page,Page ID,Page Counter,Question,Response Type,Key,Response,Tag,OptionOrder,Object Name,Object Number,Object ID
1,1733327958417,04/12/2024 15:59:18,1733309958417,-5,04/12/2024 05:59:18,196386,6,questionnaire-ng98,,41801387,BLIND,12210601,,complete,,675077efcdde5cd72262236f,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 131.0.0.0,1512x982,1436x669,Headphone Check Pass,,0,ET_Questionnaire (Clone),1,CB48,Yes,Pass,Exit,Headphone Check Pass,,,,,,,,info,,BEGIN,,,,,
2,1733328072736,04/12/2024 16:01:12,1733310072736,-5,04/12/2024 06:01:12,196386,6,questionnaire-ng98,,41801387,BLIND,12210601,,complete,,675077efcdde5cd72262236f,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 131.0.0.0,1512x982,1436x669,Headphone Check Pass,,0,ET_Questionnaire (Clone),1,CB48,Yes,Pass,Exit,Headphone Check Pass,,,,Page 1,vvc35d,1,"1.	Do you have a history of vision problems (e.g., corrected vision, eye disease, or drooping eyelids)?",response,value,No,,Yes|No,Multiple Choice,1,object-3
3,1733328072736,04/12/2024 16:01:12,1733310072736,-5,04/12/2024 06:01:12,196386,6,questionnaire-ng98,,41801387,BLIND,12210601,,complete,,675077efcdde5cd72262236f,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 131.0.0.0,1512x982,1436x669,Headphone Check Pass,,0,ET_Questionnaire (Clone),1,CB48,Yes,Pass,Exit,Headphone Check Pass,,,,Page 1,vvc35d,1,"1.	Do you have a history of vision problems (e.g., corrected vision, eye disease, or drooping eyelids)?",response,quantised,2,,Yes|No,Multiple Choice,1,object-3
4,1733328072736,04/12/2024 16:01:12,1733310072736,-5,04/12/2024 06:01:12,196386,6,questionnaire-ng98,,41801387,BLIND,12210601,,complete,,675077efcdde5cd72262236f,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 131.0.0.0,1512x982,1436x669,Headphone Check Pass,,0,ET_Questionnaire (Clone),1,CB48,Yes,Pass,Exit,Headphone Check Pass,,,,Page 1,vvc35d,1,2.	Are you on any medications currently that can impair your judgement?,response,value,No,,Yes|No,Multiple Choice,2,object-4
5,1733328072736,04/12/2024 16:01:12,1733310072736,-5,04/12/2024 06:01:12,196386,6,questionnaire-ng98,,41801387,BLIND,12210601,,complete,,675077efcdde5cd72262236f,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 131.0.0.0,1512x982,1436x669,Headphone Check Pass,,0,ET_Questionnaire (Clone),1,CB48,Yes,Pass,Exit,Headphone Check Pass,,,,Page 1,vvc35d,1,2.	Are you on any medications currently that can impair your judgement?,response,quantised,2,,Yes|No,Multiple Choice,2,object-4
6,1733328072737,04/12/2024 16:01:12,1733310072737,-5,04/12/2024 06:01:12,196386,6,questionnaire-ng98,,41801387,BLIND,12210601,,complete,,675077efcdde5cd72262236f,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 131.0.0.0,1512x982,1436x669,Headphone Check Pass,,0,ET_Questionnaire (Clone),1,CB48,Yes,Pass,Exit,Headphone Check Pass,,,,Page 1,vvc35d,1,"If yes, please list below:",response,value,No,,,Comment Box,3,object-5
7,1733328072737,04/12/2024 16:01:12,1733310072737,-5,04/12/2024 06:01:12,196386,6,questionnaire-ng98,,41801387,BLIND,12210601,,complete,,675077efcdde5cd72262236f,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 131.0.0.0,1512x982,1436x669,Headphone Check Pass,,0,ET_Questionnaire (Clone),1,CB48,Yes,Pass,Exit,Headphone Check Pass,,,,Page 1,vvc35d,1,3.	Please check if you currently wearing any of the following:,response,Eye Glasses,0,,Eye Glasses|Contacts|Makeup|Strip or individual eyelashes|Hat,Multiple Choice,4,object-6
8,1733328072737,04/12/2024 16:01:12,1733310072737,-5,04/12/2024 06:01:12,196386,6,questionnaire-ng98,,41801387,BLIND,12210601,,complete,,675077efcdde5cd72262236f,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 131.0.0.0,1512x982,1436x669,Headphone Check Pass,,0,ET_Questionnaire (Clone),1,CB48,Yes,Pass,Exit,Headphone Check Pass,,,,Page 1,vvc35d,1,3.	Please check if you currently wearing any of the following:,response,Contacts,0,,Eye Glasses|Contacts|Makeup|Strip or individual eyelashes|Hat,Multiple Choice,4,object-6
9,1733328072737,04/12/2024 16:01:12,1733310072737,-5,04/12/2024 06:01:12,196386,6,questionnaire-ng98,,41801387,BLIND,12210601,,complete,,675077efcdde5cd72262236f,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 131.0.0.0,1512x982,1436x669,Headphone Check Pass,,0,ET_Questionnaire (Clone),1,CB48,Yes,Pass,Exit,Headphone Check Pass,,,,Page 1,vvc35d,1,3.	Please check if you currently wearing any of the following:,response,Makeup,0,,Eye Glasses|Contacts|Makeup|Strip or individual eyelashes|Hat,Multiple Choice,4,object-6
10,1733328072737,04/12/2024 16:01:12,1733310072737,-5,04/12/2024 06:01:12,196386,6,questionnaire-ng98,,41801387,BLIND,12210601,,complete,,675077efcdde5cd72262236f,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 131.0.0.0,1512x982,1436x669,Headphone Check Pass,,0,ET_Questionnaire (Clone),1,CB48,Yes,Pass,Exit,Headphone Check Pass,,,,Page 1,vvc35d,1,3.	Please check if you currently wearing any of the following:,response,Strip or individual eyelashes,0,,Eye Glasses|Contacts|Makeup|Strip or individual eyelashes|Hat,Multiple Choice,4,object-6
