Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,counterbalance-2nfr,branch-i39d,branch-gwtr,branch-9h9t,checkpoint-o7ee,checkpoint-6s7s,branch-ktz5,branch-hxbs,Randomise questionnaire elements?,Question Key,Response
1,1733328076163,04/12/2024 16:01:16,1733328076332,-5,04/12/2024 11:01:16,196386,6,questionnaire-w1i9,,41801482,BLIND,12210601,,complete,,675077efcdde5cd72262236f,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 131.0.0.0,1512x982,1436x669,Headphone Check Pass,,,Demographic Questionnaire,5,CB48,Yes,Pass,Exit,Headphone Check Pass,,,,No,BEGIN QUESTIONNAIRE,
2,1733328112709,04/12/2024 16:01:52,1733328112890,-5,04/12/2024 11:01:52,196386,6,questionnaire-w1i9,,41801482,BLIND,12210601,,complete,,675077efcdde5cd72262236f,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 131.0.0.0,1512x982,1436x669,Headphone Check Pass,,,Demographic Questionnaire,5,CB48,Yes,Pass,Exit,Headphone Check Pass,,,,No,response-1,34
3,1733328112874,04/12/2024 16:01:52,1733328112892,-5,04/12/2024 11:01:52,196386,6,questionnaire-w1i9,,41801482,BLIND,12210601,,complete,,675077efcdde5cd72262236f,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 131.0.0.0,1512x982,1436x669,Headphone Check Pass,,,Demographic Questionnaire,5,CB48,Yes,Pass,Exit,Headphone Check Pass,,,,No,response-2,Male
4,1733328112874,04/12/2024 16:01:52,1733328112892,-5,04/12/2024 11:01:52,196386,6,questionnaire-w1i9,,41801482,BLIND,12210601,,complete,,675077efcdde5cd72262236f,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 131.0.0.0,1512x982,1436x669,Headphone Check Pass,,,Demographic Questionnaire,5,CB48,Yes,Pass,Exit,Headphone Check Pass,,,,No,response-2-quantised,1
5,1733328112874,04/12/2024 16:01:52,1733328112892,-5,04/12/2024 11:01:52,196386,6,questionnaire-w1i9,,41801482,BLIND,12210601,,complete,,675077efcdde5cd72262236f,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 131.0.0.0,1512x982,1436x669,Headphone Check Pass,,,Demographic Questionnaire,5,CB48,Yes,Pass,Exit,Headphone Check Pass,,,,No,response-3,Do not know
6,1733328112874,04/12/2024 16:01:52,1733328112892,-5,04/12/2024 11:01:52,196386,6,questionnaire-w1i9,,41801482,BLIND,12210601,,complete,,675077efcdde5cd72262236f,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 131.0.0.0,1512x982,1436x669,Headphone Check Pass,,,Demographic Questionnaire,5,CB48,Yes,Pass,Exit,Headphone Check Pass,,,,No,response-3-quantised,7
7,1733328112874,04/12/2024 16:01:52,1733328112893,-5,04/12/2024 11:01:52,196386,6,questionnaire-w1i9,,41801482,BLIND,12210601,,complete,,675077efcdde5cd72262236f,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 131.0.0.0,1512x982,1436x669,Headphone Check Pass,,,Demographic Questionnaire,5,CB48,Yes,Pass,Exit,Headphone Check Pass,,,,No,response-3-text,
8,1733328112874,04/12/2024 16:01:52,1733328112893,-5,04/12/2024 11:01:52,196386,6,questionnaire-w1i9,,41801482,BLIND,12210601,,complete,,675077efcdde5cd72262236f,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 131.0.0.0,1512x982,1436x669,Headphone Check Pass,,,Demographic Questionnaire,5,CB48,Yes,Pass,Exit,Headphone Check Pass,,,,No,response-4,Hispanic or Latino
9,1733328112874,04/12/2024 16:01:52,1733328112893,-5,04/12/2024 11:01:52,196386,6,questionnaire-w1i9,,41801482,BLIND,12210601,,complete,,675077efcdde5cd72262236f,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 131.0.0.0,1512x982,1436x669,Headphone Check Pass,,,Demographic Questionnaire,5,CB48,Yes,Pass,Exit,Headphone Check Pass,,,,No,response-4-quantised,1
10,1733328112874,04/12/2024 16:01:52,1733328112893,-5,04/12/2024 11:01:52,196386,6,questionnaire-w1i9,,41801482,BLIND,12210601,,complete,,675077efcdde5cd72262236f,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 131.0.0.0,1512x982,1436x669,Headphone Check Pass,,,Demographic Questionnaire,5,CB48,Yes,Pass,Exit,Headphone Check Pass,,,,No,response-5-5,White
